wellName,DEPTH,CGR,CPERM,CPHI,DT,DTSM,Facies,GR,MSFL,NPHI,PEF,Perm_Buckles_UpAs,PHIE,RHOB,RT,SWE,ZONE_NAME,net_gross
A-18-00,1017.6,3.50396,-9999,-9999,83.6983,168.4708,-9999,22.2054,0.366092,0.334387,2.955267,-9999,0.3253171,2.30757,0.330735,0.8761808,Dammam,net
A-18-00,1017.75,2.86896,-9999,-9999,84.3829,164.9532,-9999,22.1064,0.352313,0.339112,3.002227,-9999,0.325897,2.31265,0.320556,0.8883675,Dammam,net
A-18-00,1017.91,2.47543,-9999,-9999,85.8726,163.0488,-9999,22.2663,0.319398,0.3496,3.032629,-9999,0.3303795,2.31444,0.291364,0.919135,Dammam,net
A-18-00,1018.06,2.35407,-9999,-9999,87.0426,164.6238,-9999,21.8696,0.307561,0.350201,3.034956,-9999,0.3345405,2.30637,0.281477,0.9234736,Dammam,net
A-18-00,1018.21,1.78008,-9999,-9999,86.56,167.4775,-9999,20.8885,0.318786,0.341841,3.02228,-9999,0.3346255,2.29716,0.291639,0.9069799,Dammam,net
A-18-00,1018.36,1.13103,-9999,-9999,84.5384,166.4207,-9999,21.1925,0.346881,0.336354,3.015001,-9999,0.3293977,2.30034,0.317687,0.8827627,Dammam,net
A-18-00,1018.52,1.73266,-9999,-9999,82.4711,161.4907,-9999,21.9932,0.370339,0.340667,3.016347,-9999,0.3221751,2.31783,0.340593,0.8716432,Dammam,net
A-18-00,1018.67,2.57298,-9999,-9999,81.4954,156.6608,-9999,22.0675,0.37576,0.346511,3.009856,-9999,0.3163668,2.33781,0.345506,0.8812813,Dammam,net
A-18-00,1018.82,2.88322,-9999,-9999,81.5459,154.8967,-9999,21.7162,0.379666,0.348353,2.977127,-9999,0.3140624,2.34665,0.349492,0.8826398,Dammam,net
A-18-00,1018.97,2.94185,-9999,-9999,82.0733,156.3989,-9999,21.0173,0.371977,0.3499,2.922272,-9999,0.3168596,2.34169,0.342042,0.884293,Dammam,net
A-18-00,1019.13,2.71449,-9999,-9999,82.6489,159.4573,-9999,20.0196,0.358559,0.355496,2.872724,-9999,0.3226393,2.33087,0.328208,0.8865348,Dammam,net
A-18-00,1019.28,2.18879,-9999,-9999,83.0513,162.3088,-9999,19.3434,0.362505,0.360433,2.853531,-9999,0.3261393,2.32366,0.330744,0.8736226,Dammam,net
A-18-00,1019.43,1.79329,-9999,-9999,83.3184,164.05,-9999,19.3039,0.378602,0.358593,2.861204,-9999,0.3240668,2.32722,0.343832,0.8622831,Dammam,net
A-18-00,1019.58,1.64609,-9999,-9999,83.6564,164.4426,-9999,19.2195,0.383729,0.349374,2.873212,-9999,0.3185243,2.33884,0.346761,0.8735428,Dammam,net
A-18-00,1019.74,1.37105,-9999,-9999,84.1696,163.7986,-9999,19.464,0.370479,0.340029,2.874985,-9999,0.3147254,2.34798,0.333386,0.9016146,Dammam,net
A-18-00,1019.89,1.37637,-9999,-9999,84.6899,162.7152,-9999,20.2092,0.356235,0.335661,2.864483,-9999,0.314504,2.34911,0.319273,0.9219422,Dammam,net
A-18-00,1020.04,1.59442,-9999,-9999,84.8579,161.7923,-9999,20.6522,0.357793,0.33366,2.84638,-9999,0.3141016,2.34942,0.319589,0.9223445,Dammam,net
A-18-00,1020.19,1.54042,-9999,-9999,84.5134,160.7527,-9999,21.2966,0.372853,0.327275,2.837604,-9999,0.3092877,2.35756,0.332489,0.918606,Dammam,net
A-18-00,1020.34,1.93681,-9999,-9999,83.8235,158.2573,-9999,22.5607,0.385305,0.318406,2.854189,-9999,0.3025879,2.36945,0.343163,0.9241949,Dammam,net
A-18-00,1020.5,2.92996,-9999,-9999,83.2081,153.3326,-9999,23.3435,0.387892,0.318056,2.894467,-9999,0.3000864,2.37503,0.34572,0.9284128,Dammam,net
A-18-00,1020.65,3.73488,-9999,-9999,82.9869,150.2324,-9999,23.2037,0.38167,0.332554,2.93155,-9999,0.3047159,2.37011,0.340541,0.9212025,Dammam,net
A-18-00,1020.8,4.0392,-9999,-9999,83.2121,153.5623,-9999,22.3542,0.371914,0.350711,2.94847,-9999,0.3127099,2.35875,0.331568,0.9096865,Dammam,net
A-18-00,1020.95,3.99063,-9999,-9999,83.8769,159.0135,-9999,21.5344,0.360185,0.356572,2.94798,-9999,0.3189757,2.34595,0.321306,0.905915,Dammam,net
